fname                                                        ,attribute      ,area     ,direction ,floor_height ,i_don_t_know_what_it_is ,construction_time ,community                    ,wherehome                                                                                ,is_it_close_to_the_subway ,homo   ,intermediary ,price  ,unitprice
前滩腹地 采光无遮挡 硬装30W全送 出门商业街 近汤臣一品        ,1 室 1 厅 1 卫 ,62.43㎡  ,南        ,低层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,繁华地段交通便利品质小区  ,许平源 ,柚邻地产     , 308   ,49336元/㎡
房东已买贱卖，价格一降再降，紧急出售，交通配套发展一样不落。 ,2 室 2 厅 1 卫 ,83.09㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,真源小区                     ,"普陀长征真光路1058弄,真光路962弄"                                                       ,繁华地段安全性高环境优美  ,盛浩令 ,中原地产     , 508   ,61139元/㎡
浦东新区高行东源名都二期                                     ,2 室 2 厅 1 卫 ,83.05㎡  ,南        ,高层(共18层) ,                        ,2003年建造        ,东源名都(东区)               ,浦东高行双桥路1139弄                                                                     ,                          ,李士礼 ,我爱我家     , 560   ,67430元/㎡
000年商品房， 海南站地铁口，3轨交，一梯两户，诚售            ,2 室 2 厅 1 卫 ,82.89㎡  ,南        ,高层(共6层)  ,                        ,1999年建造        ,金牛苑                       ,"徐汇上海南站石龙路731弄,龙川北路800弄"                                                  ,                          ,肖棋   ,我爱我家     , 580   ,69973元/㎡
新出精装修两房 满五   交通便捷 高楼层采光充足 近医院         ,2 室 1 厅 1 卫 ,63.18㎡  ,南北      ,高层(共6层)  ,                        ,1999年建造        ,罗山七村                     ,"浦东金杨新村龙居路191弄,博山东路173弄"                                                  ,交通便利配套成熟近地铁    ,周加桃 ,太平洋房屋   , 400   ,63312元/㎡
。天官赐福，赠送手办！经典双南户型。业主诚售，接受置换。     ,2 室 2 厅 1 卫 ,91.76㎡  ,南北      ,中层(共21层) ,                        ,2016年建造        ,陆家嘴锦绣里                 ,浦东北蔡博华路498弄                                                                      ,环境优美全南户型指纹入户  ,张晶梅 ,太平洋房屋   , 666   ,72581元/㎡
看房钥匙，全明户型，正规三房，带车位，可以接受置换，诚售     ,3 室 1 厅 1 卫 ,83.79㎡  ,南北      ,中层(共6层)  ,                        ,1996年建造        ,平吉二村莲花新城             ,闵行古美罗阳虹莘路2288弄                                                                 ,                          ,范鹏   ,太平洋房屋   , 415   ,49529元/㎡
（刚需甄选）~小户型~中间楼层~近地铁~业主已买急售             ,1 室 2 厅 1 卫 ,44.12㎡  ,南北      ,中层(共6层)  ,                        ,1998年建造        ,金光小区                     ,"浦东三林上南路4265弄,上南路4271弄"                                                      ,小户型拎包入住近地铁      ,陆龙池 ,太平洋房屋   , 368   ,83409元/㎡
太卷啦！四川北路电梯复式！买一层送壹层！精装3房2厅只384      ,3 室 2 厅 2 卫 ,55.54㎡  ,南北      ,高层(共26层) ,                        ,2006年建造        ,新潮时代(公寓住宅)           ,虹口四川北路中州路133弄                                                                  ,品质小区繁华地段配套成熟  ,王益军 ,上海兑士房产 , 384   ,69140元/㎡
潍坊新村 交通便利 板楼 满五   近医院 近地铁 精装好房         ,2 室 1 厅 1 卫 ,49.64㎡  ,南北      ,高层(共6层)  ,                        ,1996年建造        ,浦东南路1341弄小区           ,浦东潍坊新村浦东南路1341弄                                                               ,                          ,刘叶梦 ,太平洋房屋   , 438   ,88236元/㎡
东欣高层，双南采光，朝南户型                                 ,2 室 0 厅 1 卫 ,65.16㎡  ,南北      ,高层(共25层) ,                        ,1996年建造        ,东欣小区                     ,浦东潍坊新村崂山路571弄1-5号                                                             ,安全性高近地铁低密度      ,商春佳 ,我爱我家     , 490   ,75200元/㎡
（维护人推荐）低于市场价！钥匙房！1梯2户，近6号D铁           ,2 室 2 厅 1 卫 ,93.7㎡   ,南北      ,低层(共6层)  ,                        ,2000年建造        ,住友名人花园                 ,浦东金杨新村张杨路2999弄                                                                 ,配套成熟近地铁品质小区    ,刘金雨 ,我爱我家     , 605   ,64568元/㎡
南北通透 医疗配套成熟 中间好楼层 交通便利 高绿化             ,2 室 1 厅 1 卫 ,62㎡     ,南北      ,高层(共32层) ,                        ,1999年建造        ,西凌新邨                     ,"黄浦蓬莱公园西凌家宅路27弄,111弄,137弄,西藏南路1374弄,制造局路365弄,455弄,567弄"        ,繁华地段安全性高素质住户  ,胡戴娜 ,太平洋房屋   , 568   ,91613元/㎡
